Frequency (Hz)	Level (dB)
1640.625000	-81.771736
1646.484375	-74.442146
1652.343750	-73.799294
1658.203125	-79.895645
1664.062500	-92.049461
1669.921875	-98.245392
1675.781250	-107.945854
1681.640625	-118.540024
1687.500000	-81.719482
1693.359375	-60.207245
1699.218750	-49.543152
1705.078125	-46.290348
1710.937500	-49.723427
1716.796875	-60.604809
1722.656250	-82.413902
1728.515625	-119.955200
1734.375000	-106.238403
1740.234375	-96.740669
1746.093750	-91.243042
1751.953125	-80.420990
1757.812500	-74.639244
1763.671875	-75.490128
1769.531250	-83.178673
1775.390625	-94.802299
1781.250000	-100.246521
1787.109375	-112.361710
1792.968750	-115.154999
1798.828125	-76.389435
1804.687500	-57.955616
1810.546875	-49.126877
1816.406250	-47.398640
1822.265625	-52.394936
1828.125000	-65.278145
1833.984375	-90.859085
1839.843750	-120.168587
1845.703125	-103.718735
1851.562500	-95.949516
1857.421875	-89.664291
1863.281250	-79.402809
1869.140625	-75.147408
1875.000000	-77.501785
1880.859375	-86.771423
1886.718750	-96.602325
1892.578125	-102.472282
1898.437500	-117.066116
1904.296875	-104.797668
1910.156250	-71.949776
1916.015625	-56.132587
1921.875000	-49.026421
1927.734375	-48.805210
1933.593750	-55.418793
1939.453125	-70.509743
1945.312500	-100.847839
1951.171875	-116.403366
1957.031250	-101.605988
1962.890625	-95.348671
1968.750000	-87.863304
1974.609375	-78.706665
1980.468750	-75.962883
1986.328125	-79.846848
1992.187500	-90.465004
1998.046875	-98.019470
2003.906250	-105.181335
2009.765625	-121.546577
2015.625000	-95.429054
2021.484375	-68.227623
2027.343750	-54.702877
2033.203125	-49.235031
2039.062500	-50.518330
2044.921875	-58.825092
2050.781250	-76.404091
2056.640625	-112.482918
2062.500000	-112.168114
2068.359375	-99.909691
2074.218750	-94.772606
2080.078125	-86.155373
2085.937500	-78.352379
2091.796875	-77.098404
2097.656250	-82.538086
2103.515625	-93.847458
2109.375000	-99.489990
2115.234375	-108.323807
2121.093750	-119.950096
2126.953125	-88.073837
2132.812500	-65.100250
2138.671875	-53.638050
2144.531250	-49.748486
2150.390625	-52.549004
2156.250000	-62.652096
2162.109375	-83.109039
2167.968750	-121.368103
2173.828125	-108.722847
2179.687500	-98.576912
2185.546875	-94.086708
2191.406250	-84.651733
2197.265625	-78.308319
2203.125000	-78.548767
2208.984375	-85.557297
2214.843750	-96.418488
2220.703125	-101.187256
2226.562500	-112.187523
2232.421875	-118.987846
2238.281250	-82.137779
2244.140625	-62.490307
2250.000000	-52.920254
2255.859375	-50.567116
2261.718750	-54.913975
2267.578125	-66.949455
2273.437500	-90.850273
2279.296875	-122.957153
2285.156250	-106.024467
2291.015625	-97.622475
2296.875000	-93.043968
2302.734375	-83.420334
2308.593750	-78.578033
2314.453125	-80.315857
2320.312500	-88.851479
2326.171875	-97.986862
2332.031250	-103.304848
2337.890625	-116.715630
2343.750000	-112.271843
2349.609375	-77.194725
2355.468750	-60.338287
2361.328125	-52.534142
2367.187500	-51.693184
2373.046875	-57.632984
2378.906250	-71.782501
2384.765625	-99.962166
2390.625000	-118.870415
2396.484375	-103.703194
2402.343750	-96.921906
2408.203125	-91.599617
2414.062500	-82.490623
2419.921875	-79.151657
2425.781250	-82.404541
2431.640625	-92.289719
2437.500000	-99.278831
2443.359375	-105.885323
2449.218750	-121.547256
2455.078125	-102.298050
2460.937500	-73.046944
2466.796875	-58.604687
2472.656250	-52.470543
2478.515625	-53.133202
2484.375000	-60.732239
2490.234375	-77.240921
2496.093750	-110.675514
2501.953125	-114.518906
2507.812500	-101.838623
2513.671875	-96.461235
2519.531250	-89.981522
2525.390625	-81.876762
2531.250000	-80.029984
2537.109375	-84.818771
2542.968750	-95.440048
2548.828125	-100.528671
2554.687500	-108.742546
2560.546875	-122.474739
2566.406250	-94.150314
2572.265625	-69.548958
2578.125000	-57.256725
2583.984375	-52.723045
2589.843750	-54.896088
2595.703125	-64.245934
2601.562500	-83.458450
2607.421875	-120.634315
2613.281250	-111.363441
2619.140625	-100.313789
2625.000000	-96.021088
2630.859375	-88.390175
2636.718750	-81.577126
2642.578125	-81.217239
2648.437500	-87.542961
2654.296875	-97.792389
2660.156250	-102.067062
2666.015625	-112.166367
2671.875000	-122.657852
2677.734375	-87.556915
2683.593750	-66.603897
2689.453125	-56.271049
2695.312500	-53.288780
2701.171875	-56.994362
2707.031250	-68.214127
2712.890625	-90.599106
2718.750000	-124.621826
2724.609375	-108.449219
2730.468750	-99.242661
2736.328125	-95.494202
2742.187500	-87.011497
2748.046875	-81.619629
2753.906250	-82.745491
2759.765625	-90.598145
2765.625000	-99.296486
2771.484375	-104.008736
2777.343750	-116.172028
2783.203125	-118.410736
2789.062500	-82.110100
2794.921875	-64.149643
2800.781250	-55.630470
2806.640625	-54.168594
2812.500000	-59.445492
2818.359375	-72.697258
2824.218750	-98.930298
2830.078125	-121.600136
2835.937500	-105.752800
2841.796875	-98.375694
2847.656250	-94.485573
2853.515625	-85.875870
2859.375000	-81.959190
2865.234375	-84.589867
2871.093750	-93.803947
2876.953125	-100.484596
2882.812500	-106.312050
2888.671875	-120.751259
2894.531250	-109.178658
2900.390625	-77.536934
2906.250000	-62.135498
2912.109375	-55.322563
2917.968750	-55.366344
2923.828125	-62.271877
2929.687500	-77.774216
2935.546875	-108.852669
2941.406250	-117.545502
2947.265625	-103.611389
2953.125000	-97.832008
2958.984375	-93.182190
2964.843750	-85.051994
2970.703125	-82.604530
2976.562500	-86.763725
2982.421875	-96.743507
2988.281250	-101.560852
2994.140625	-108.996605
3000.000000	-125.122627
3005.859375	-100.056511
3011.718750	-73.677933
3017.578125	-60.526196
3023.437500	-55.339985
3029.296875	-56.889313
3035.156250	-65.504005
3041.015625	-83.549530
3046.875000	-119.586510
3052.734375	-113.814407
3058.593750	-101.974258
3064.453125	-97.505508
3070.312500	-91.684441
3076.171875	-84.538559
3082.031250	-83.565086
3087.890625	-89.252029
3093.750000	-99.019035
3099.609375	-102.989632
3105.468750	-112.428368
3111.328125	-123.189613
3117.187500	-92.787834
3123.046875	-70.413956
3128.906250	-59.293968
3134.765625	-55.677612
3140.625000	-58.748348
3146.484375	-69.179779
3152.343750	-90.173782
3158.203125	-125.962669
3164.062500	-110.590668
3169.921875	-100.675484
3175.781250	-97.170830
3181.640625	-90.225662
3187.500000	-84.350693
3193.359375	-84.859863
3199.218750	-92.061096
3205.078125	-100.511879
3210.937500	-104.689972
3216.796875	-116.059212
3222.656250	-121.558868
3228.515625	-86.803795
3234.375000	-67.671448
3240.234375	-58.419212
3246.093750	-56.333813
3251.953125	-60.956913
3257.812500	-73.345955
3263.671875	-97.851921
3269.531250	-124.350456
3275.390625	-107.637733
3281.250000	-99.679970
3287.109375	-96.657082
3292.968750	-88.964188
3298.828125	-84.480476
3304.687500	-86.491730
3310.546875	-95.048180
3316.406250	-101.488632
3322.265625	-106.705795
3328.125000	-120.260765
3333.984375	-115.347168
3339.843750	-81.804123
3345.703125	-65.391251
3351.562500	-57.886841
3357.421875	-57.311378
3363.281250	-63.537193
3369.140625	-78.076477
3375.000000	-106.866463
3380.859375	-120.376762
3386.718750	-105.496986
3392.578125	-99.063431
3398.437500	-95.774704
3404.296875	-87.948891
3410.156250	-84.909813
3416.015625	-88.428123
3421.875000	-97.862846
3427.734375	-102.531021
3433.593750	-109.310600
3439.453125	-124.774246
3445.312500	-105.992210
3451.171875	-77.588280
3457.031250	-63.535149
3462.890625	-57.687313
3468.750000	-58.615349
3474.609375	-66.515137
3480.468750	-83.461662
3486.328125	-116.944298
3492.187500	-116.059402
3498.046875	-103.561569
3503.906250	-98.663399
3509.765625	-94.503487
3515.625000	-87.225945
3521.484375	-85.670578
3527.343750	-90.708542
3533.203125	-100.143921
3539.062500	-103.689346
3544.921875	-112.320778
3550.781250	-125.360825
3556.640625	-97.935257
3562.500000	-74.006866
3568.359375	-62.070892
3574.218750	-57.813778
3580.078125	-60.254986
3585.937500	-69.923401
3591.796875	-89.647491
3597.656250	-124.795387
3603.515625	-112.730499
3609.375000	-102.056244
3615.234375	-98.401787
3621.093750	-93.109756
3626.953125	-86.850204
3632.812500	-86.767838
3638.671875	-93.299698
3644.531250	-101.567993
3650.390625	-105.224571
3656.250000	-115.584969
3662.109375	-123.512939
3667.968750	-91.384415
3673.828125	-70.980690
3679.687500	-60.975357
3685.546875	-58.262913
3691.406250	-62.242332
3697.265625	-73.807152
